epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,2901.59,0.94443,0.94943,1.36618,0.96407,1,0.995,0.53727,1.08636,0.72042,1.69618,0.006733,0.006733,0.006733
35,2989.67,0.96771,0.94703,1.36698,0.96458,0.9793,0.995,0.58733,1.26781,0.74255,1.78932,0.006634,0.006634,0.006634
36,3097.02,0.9397,0.92371,1.35428,0.93885,1,0.995,0.61728,1.02843,0.68077,1.63234,0.006535,0.006535,0.006535
37,3182.43,0.94879,0.92295,1.36438,0.94939,1,0.995,0.62342,1.17582,0.67046,1.69028,0.006436,0.006436,0.006436
38,3287.01,0.93223,0.91034,1.34949,0.97433,1,0.995,0.66023,1.09967,0.64643,1.56249,0.006337,0.006337,0.006337
39,3369.86,0.93019,0.90406,1.34764,0.97128,0.98947,0.995,0.7672,0.87234,0.58664,1.36579,0.006238,0.006238,0.006238
40,3458,0.9156,0.90681,1.33998,0.93799,1,0.995,0.74039,0.94729,0.56486,1.43966,0.006139,0.006139,0.006139
41,3547.42,0.90839,0.8949,1.33721,0.97075,1,0.995,0.67823,0.99561,0.54132,1.57169,0.00604,0.00604,0.00604
42,3647.54,0.90193,0.88684,1.33224,0.96667,0.98367,0.995,0.60539,1.12818,0.65427,1.68788,0.005941,0.005941,0.005941
43,3726.9,0.90604,0.88171,1.33816,0.95845,0.98858,0.995,0.78435,0.97895,0.49844,1.43414,0.005842,0.005842,0.005842
44,3812.86,0.91506,0.87898,1.33948,0.8613,0.91453,0.8765,0.63871,1.08973,0.61516,1.73076,0.005743,0.005743,0.005743
45,3901.02,0.89296,0.83283,1.32867,0.97018,0.99238,0.995,0.74003,0.96113,0.52742,1.4697,0.005644,0.005644,0.005644
46,3982.74,0.8947,0.85871,1.31607,0.97407,0.99495,0.995,0.72845,1.05891,0.54461,1.57913,0.005545,0.005545,0.005545
47,4064.08,0.88473,0.84461,1.3182,0.97828,0.99221,0.995,0.74921,0.95201,0.48704,1.46899,0.005446,0.005446,0.005446
48,4147.65,0.87207,0.84075,1.31288,0.9784,0.94556,0.995,0.76905,0.90645,0.49678,1.35678,0.005347,0.005347,0.005347
49,4227.51,0.88313,0.83643,1.31734,0.97713,0.99001,0.995,0.75283,0.91199,0.53321,1.46075,0.005248,0.005248,0.005248
50,4315.83,0.88702,0.8296,1.32749,0.98198,1,0.995,0.76259,0.89305,0.49984,1.36375,0.005149,0.005149,0.005149
51,4412.43,0.88556,0.83704,1.31577,0.94441,0.97304,0.995,0.78217,0.87162,0.49419,1.30983,0.00505,0.00505,0.00505
52,4508.81,0.86325,0.8116,1.30098,0.96293,0.98289,0.995,0.75881,0.93395,0.53983,1.39203,0.004951,0.004951,0.004951
53,4624.31,0.86076,0.80336,1.29774,0.95523,1,0.995,0.70937,1.05649,0.48801,1.51624,0.004852,0.004852,0.004852
54,4711.72,0.85509,0.78816,1.28801,0.95057,1,0.995,0.7784,0.93407,0.47677,1.43228,0.004753,0.004753,0.004753
55,4806.13,0.85156,0.79185,1.29668,0.96971,1,0.995,0.73782,1.07578,0.48351,1.50062,0.004654,0.004654,0.004654
56,4894.62,0.84733,0.77346,1.30294,0.96191,0.99352,0.995,0.69461,1.07884,0.47841,1.517,0.004555,0.004555,0.004555
57,4982.26,0.85796,0.77849,1.28989,0.97295,0.99156,0.995,0.74256,1.03638,0.45233,1.45026,0.004456,0.004456,0.004456
58,5064.11,0.84428,0.77369,1.29075,0.96571,0.98587,0.995,0.71068,1.0853,0.47753,1.58738,0.004357,0.004357,0.004357
